Union_Name,Upazilla_Name,Union_code
AMTALI,AMTALI,109
ARPANGASHIA,AMTALI,118
ATHAROGACHHIA,AMTALI,127
CHAORA,AMTALI,178
‌GULISAKHALI,AMTALI,250
HALDIA,AMTALI,344
KUKUA,AMTALI,444
WARD NO. 01,AMTALI,001
WARD NO. 02,AMTALI,002
WARD NO. 03,AMTALI,003
WARD NO. 04,AMTALI,004
WARD NO. 05,AMTALI,005
WARD NO. 06,AMTALI,006
WARD NO. 07,AMTALI,007
WARD NO. 08,AMTALI,008
WARD NO. 09,AMTALI,009
BAMNA,BAMNA,142
BUKABUNIA,BAMNA,151
DOUATALA,BAMNA,210
RAMNA,BAMNA,673
AYLA PATAKATA,BARGUNA SADAR,109
BADARKHALI,BARGUNA SADAR,143
BARGUNA,BARGUNA SADAR,152
BURIRCHAR,BARGUNA SADAR,161
DHALUA,BARGUNA SADAR,212
GOURICHANNA,BARGUNA SADAR,312
KEORABANIA,BARGUNA SADAR,445
M BALIATALI,BARGUNA SADAR,512
NALTONA,BARGUNA SADAR,546
PHULJHURI,BARGUNA SADAR,613
BETAGI,BETAGI,142
BIBICHINI,BETAGI,151
BURA MAZUMDAR,BETAGI,160
HOSNABAD,BETAGI,343
KAZIRABAD,BETAGI,443
MOKAMIA,BETAGI,510
SARISHAMURI,BETAGI,709
CHAR DUANI,PATHARGHATA,175
KAKCHIRA,PATHARGHATA,440
KALAMEGHA,PATHARGHATA,449
KANTHALTALI,PATHARGHATA,458
NACHNAPARA,PATHARGHATA,542
PATHARGHATA,PATHARGHATA,609
RAYHANPUR,PATHARGHATA,676
BARABAGI,TALTALI,142
CHHOTABAGI,TALTALI,176
KARAIBARIA,TALTALI,441
NISHANBARIA,TALTALI,541
PACHAKORALIA,TALTALI,608
SARIKKHALI,TALTALI,708
SONAKATA,TALTALI,717
BAGDHA,AGAILJHARA,142
BAKAL,AGAILJHARA,151
GAILA,AGAILJHARA,309
RAJIHAR,AGAILJHARA,673
RATNAPUR,AGAILJHARA,682
CHANDPASHA,BABUGANJ,175
DEHERGATI,BABUGANJ,209
JAHANGIRNAGAR,BABUGANJ,408
KEDARPUR,BABUGANJ,442
MADHABPASA,BABUGANJ,509
RAHMATPUR,BABUGANJ,675
