Upazilla_code,Upazilla_Name,District_Name
09,AMTALI,BARGUNA
19,BAMNA,BARGUNA
28,BARGUNA SADAR,BARGUNA
47,BETAGI,BARGUNA
85,PATHARGHATA,BARGUNA
90,TALTALI,BARGUNA
02,AGAILJHARA,BARISAL
03,BABUGANJ,BARISAL
07,BAKERGANJ,BARISAL
10,BANARIPARA,BARISAL
32,GAURNADI,BARISAL
36,HIJLA,BARISAL
51,BARISAL SADAR (KOTWALI),BARISAL
62,MEHENDIGANJ,BARISAL
69,MULADI,BARISAL
94,UJIRPUR,BARISAL
18,BHOLA SADAR,BHOLA
21,BORHANUDDIN,BHOLA
25,CHARFASSON,BHOLA
29,DAULATKHAN,BHOLA
54,LALMOHAN,BHOLA
65,MONPURA,BHOLA
91,TAZUMUDDIN,BHOLA
40,JHALOKATHI SADAR,JHALOKATI
40,RAJAPUR,JHALOKATI
43,KANTHALIA,JHALOKATI
73,NALCHHITY,JHALOKATI
38,BAUPHAL,PATUAKHALI
52,DASHMINA,PATUAKHALI
55,DUMKI,PATUAKHALI
57,GALACHIPA,PATUAKHALI
66,KALAPARA,PATUAKHALI
76,MIRZAGANJ,PATUAKHALI
95,PATUAKHALI SADAR,PATUAKHALI
97,RANGABALI,PATUAKHALI
14,BHANDARIA,PIROJPUR
47,KAWKHALI,PIROJPUR
58,MATHBARIA,PIROJPUR
76,NAZIRPUR,PIROJPUR
80,PIROJPUR SADAR,PIROJPUR
87,NESARABAD (SWARUPKATHI),PIROJPUR
90,INDURKANI,PIROJPUR
04,ALIKADAM,BANDARBAN
14,BANDARBAN SADAR,BANDARBAN
51,LAMA,BANDARBAN
73,NAIKKHONGCHHARI,BANDARBAN
89,ROWANGCHHARI,BANDARBAN
91,RUMA,BANDARBAN
95,THANCHI,BANDARBAN
02,AKHAURA,BRAHMANBARIA
04,BANCHHARAMPUR,BRAHMANBARIA
07,BIJOYNAGAR,BRAHMANBARIA
13,BRAHMANBARIA SADAR,BRAHMANBARIA
33,ASHUGANJ,BRAHMANBARIA
63,KASBA,BRAHMANBARIA
85,NABINAGAR,BRAHMANBARIA
90,NASIRNAGAR,BRAHMANBARIA
94,SARAIL,BRAHMANBARIA
22,CHANDPUR SADAR,CHANDPUR
45,FARIDGANJ,CHANDPUR
47,HAIMCHAR,CHANDPUR
49,HAJIGANJ,CHANDPUR
58,KACHUA,CHANDPUR
76,MATLAB DAKKHIN,CHANDPUR
79,MATLAB UTTAR,CHANDPUR
95,SHAHRASTI,CHANDPUR
04,ANWARA,CHITTAGONG
08,BANSHKHALI,CHITTAGONG
12,BOALKHALI,CHITTAGONG
18,CHANDANAISH,CHITTAGONG
33,FATIKCHHARI,CHITTAGONG
37,HATHAZARI,CHITTAGONG
39,KARNAPHULI,CHITTAGONG
47,LOHAGARA,CHITTAGONG
53,MIRSARAI,CHITTAGONG
61,PATIYA,CHITTAGONG
70,RANGUNIA,CHITTAGONG
74,RAOZAN,CHITTAGONG
78,SANDWIP,CHITTAGONG
82,SATKANIA,CHITTAGONG
86,SITAKUNDA,CHITTAGONG
02,AKBARSHAH,CHITTAGONG
06,BAYEJID BOSTAMI,CHITTAGONG
10,BAKALIA,CHITTAGONG
16,CHALK BAZAR,CHITTAGONG
19,CHANDGAON,CHITTAGONG
20,CHITTAGONG PORT,CHITTAGONG
28,DOUBLEMOORING,CHITTAGONG
31,EPZ,CHITTAGONG
35,HALISHAHAR,CHITTAGONG
41,KOTWALI,CHITTAGONG
43,KHULSHI,CHITTAGONG
55,PAHARTALI,CHITTAGONG
57,PANCHLAISH,CHITTAGONG
65,PATENGA,CHITTAGONG
77,SADARGHAT,CHITTAGONG
09,BARURA,COMILLA
15,BRAHMANPARA,COMILLA
18,BURICHANG,COMILLA
27,CHANDINA,COMILLA
31,CHAUDDAGRAM,COMILLA
33,COMILLA SADAR DAKKHIN,COMILLA
36,DAUDKANDI,COMILLA
40,DEBIDWAR,COMILLA
54,HOMNA,COMILLA
67,ADARSHA SADAR,COMILLA
72,LAKSAM,COMILLA
73,LALMAI,COMILLA
74,MANOHARGANJ,COMILLA
75,MEGHNA,COMILLA
81,MURADNAGAR,COMILLA
87,NANGALKOT,COMILLA
94,TITAS,COMILLA
16,CHAKARIA,COXS BAZAR
24,COXS BAZAR SADAR,COXS BAZAR
45,KUTUBDIA,COXS BAZAR
49,MAHESHKHALI,COXS BAZAR
56,PEKUA,COXS BAZAR
66,RAMU,COXS BAZAR
90,TEKNAF,COXS BAZAR
94,UKHIA,COXS BAZAR
14,CHHAGALNAIYA,FENI
25,DAGANBHUIYAN,FENI
29,FENI SADAR,FENI
41,FULGAZI,FENI
51,PARASHURAM,FENI
94,SONAGAZI,FENI
43,DIGHINALA,KHAGRACHHARI
47,GUIMARA,KHAGRACHHARI
49,KHAGRACHHARI SADAR,KHAGRACHHARI
61,LAKKHICHHARI,KHAGRACHHARI
65,MAHALCHHARI,KHAGRACHHARI
67,MANIKCHHARI,KHAGRACHHARI
70,MATIRANGA,KHAGRACHHARI
77,PANCHHARI,KHAGRACHHARI
80,RAMGARH,KHAGRACHHARI
33,KAMALNAGAR,LAKSHMIPUR
43,LAKSHMIPUR SADAR,LAKSHMIPUR
58,RAIPUR,LAKSHMIPUR
65,RAMGANJ,LAKSHMIPUR
73,RAMGATI,LAKSHMIPUR
07,BEGUMGANJ,NOAKHALI
10,CHATKHIL,NOAKHALI
21,COMPANIGANJ,NOAKHALI
36,HATIYA,NOAKHALI
47,KABIRHAT,NOAKHALI
80,SENBAG,NOAKHALI
83,SONAIMURI,NOAKHALI
85,SUBARNACHAR,NOAKHALI
87,NOAKHALI SADAR,NOAKHALI
07,BAGHAICHHARI,RANGAMATI
21,BARKAL,RANGAMATI
29,BELAICHHARI,RANGAMATI
36,KAPTAI,RANGAMATI
47,JURACHHARI,RANGAMATI
58,LANGADU,RANGAMATI
75,NANIARCHAR,RANGAMATI
